Hawkishness Date,Hawkishness
2013-11-20,-0.2971698113207547
2013-05-22,-0.2009803921568627
2013-10-09,-0.2009132420091324
2014-01-08,-0.1062992125984252
2013-07-10,-0.1382113821138211
2013-02-20,-0.1770334928229665
2013-08-21,-0.1019417475728155
2013-04-10,-0.167381974248927
2014-07-09,-0.073170731707317
2014-05-21,-0.1623036649214659
2014-04-09,-0.2334801762114537
2015-01-07,-0.1055045871559633
2014-11-19,-0.1694915254237288
2014-10-08,-0.0562248995983935
2014-08-20,-0.0170212765957446
2014-02-19,-0.1142857142857142
2022-11-23,0.168
2022-02-16,0.0321285140562249
2023-01-04,0.0040983606557377
2022-08-17,0.0401459854014598
2022-04-06,0.3053435114503817
2022-10-12,0.1687763713080168
2022-05-25,0.3094170403587444
2022-07-06,0.184
2024-05-22,0.0782608695652174
2024-10-09,-0.217391304347826
2024-07-03,-0.056338028169014
2024-04-10,-0.00836820083682
2024-08-21,-0.1238095238095238
2024-02-21,-0.0220264317180616
2023-11-21,0.0779220779220779
2023-08-16,0.009009009009009
2023-04-12,0.0472103004291845
2024-01-03,0.0869565217391304
2023-10-11,0.074074074074074
2023-05-24,0.0415094339622641
2023-02-22,0.036
2023-07-05,0.1447368421052631
2015-10-08,-0.055793991416309
2016-01-06,-0.1034482758620689
2015-11-18,-0.1699604743083003
2015-04-08,-0.117391304347826
2015-02-18,-0.1758241758241758
2015-08-19,-0.08
2015-05-20,-0.2466960352422907
2015-07-08,0.0555555555555555
2012-11-14,-0.2523809523809524
2012-04-03,-0.1767676767676767
2012-08-22,-0.4285714285714285
2012-05-16,-0.1523809523809524
2012-07-11,-0.4698275862068966
2012-10-04,-0.3247863247863248
2012-02-15,-0.3689320388349514
2013-01-03,-0.3609958506224066
2009-01-06,-0.6640316205533597
2008-11-19,-0.3958333333333333
2008-10-07,-0.4702380952380952
2008-04-08,-0.3897435897435897
2008-02-20,-0.3487179487179487
2008-05-21,-0.336283185840708
2008-08-26,-0.2484076433121019
2008-07-16,-0.234375
2001-10-04,-0.5891472868217055
2001-06-28,-0.3687943262411347
2001-11-08,-0.6074074074074074
2001-05-17,-0.3255813953488372
2001-03-22,-0.3676470588235294
2002-01-31,-0.5378787878787878
2001-08-23,-0.4744525547445255
2001-12-13,-0.7317073170731707
2007-01-03,-0.1007194244604316
2006-02-21,0.1592920353982301
2006-08-29,-0.0534351145038167
2006-07-20,0.078125
2006-05-31,0.2236842105263158
2006-10-11,-0.0496453900709219
2006-04-18,0.2569444444444444
2006-11-15,-0.0194805194805194
2007-05-30,0.0069444444444444
2007-02-21,-0.0569948186528497
2008-01-02,-0.2292682926829268
2007-04-11,0.0289855072463768
2007-08-28,-0.1088435374149659
2007-07-19,0.0069444444444444
2007-11-20,-0.2303370786516854
2007-10-09,-0.3031914893617021
2000-08-24,0.0854700854700854
2000-10-05,0.0703125
2000-03-23,0.3142857142857143
2001-02-01,-0.2769230769230769
2000-06-29,0.3821138211382114
2000-11-16,-0.091743119266055
2000-05-18,0.3106060606060606
2000-12-21,0.0606060606060606
2009-05-20,-0.4245283018867924
2009-10-14,-0.2439024390243902
2009-02-18,-0.5818965517241379
2009-04-08,-0.5956521739130435
2010-01-06,-0.1831501831501831
2009-09-02,-0.2652173913043478
2009-11-24,-0.208695652173913
2009-07-15,-0.259927797833935
2018-01-03,0.1261261261261261
2017-08-16,0.0
2017-11-22,0.0580912863070539
2017-07-05,0.05
2017-02-22,0.0714285714285714
2017-05-24,-0.034090909090909
2017-04-05,0.1098901098901098
2017-10-11,-0.0625
2010-05-19,-0.136986301369863
2010-10-12,-0.396039603960396
2010-04-06,-0.2979797979797979
2010-02-17,-0.1336032388663967
2011-01-04,-0.1365638766519823
2010-08-31,-0.3201754385964912
2010-07-14,-0.2307692307692307
2010-11-23,-0.3842592592592592
2019-11-20,-0.2210144927536232
2019-10-09,-0.2921348314606741
2019-05-22,-0.1906474820143885
2019-02-20,-0.0557491289198606
2020-01-03,-0.1830357142857142
2019-08-21,-0.1847133757961783
2019-04-10,-0.2230215827338129
2019-07-10,-0.3936651583710407
2021-02-17,-0.3646616541353383
2022-01-05,0.0321285140562249
2021-11-24,-0.0892857142857142
2021-05-19,-0.2
2021-07-07,-0.0549450549450549
2021-08-18,-0.1032258064516129
2021-04-07,-0.1263537906137184
2021-10-13,-0.0892857142857142
2020-10-07,-0.2422145328719723
2021-01-06,-0.3715415019762846
2020-11-25,-0.404040404040404
2020-07-01,-0.4834710743801653
2020-05-20,-0.5294117647058824
2020-04-08,-0.4488188976377952
2020-02-19,-0.1302521008403361
2020-08-19,-0.3454545454545454
2018-07-05,0.1497584541062802
2018-11-29,0.08130081300813
2018-10-17,0.1658767772511848
2019-01-09,0.0186046511627906
2018-05-23,0.1377952755905512
2018-04-11,0.0610328638497652
2018-02-21,0.1728395061728395
2018-08-22,0.0791666666666666
2011-08-30,-0.3719806763285024
2011-04-05,0.0136363636363636
2011-10-12,-0.460377358490566
2012-01-03,-0.3543689320388349
2011-02-16,-0.0946502057613168
2011-05-18,0.0124481327800829
2011-11-22,-0.3537117903930131
2011-07-12,-0.2636363636363636
2016-08-17,-0.1518987341772152
2017-01-04,0.13671875
2016-02-17,-0.184
2016-11-23,0.048
2016-05-18,-0.1529850746268656
2016-07-06,-0.2088353413654618
2016-04-06,-0.1481481481481481
2016-10-12,-0.0618556701030927
1997-08-21,0.0738636363636363
1997-11-13,0.1151079136690647
1997-10-02,0.1543624161073825
1997-03-27,0.2012578616352201
1997-12-18,0.1338028169014084
