Hawkishness Date,Hawkishness
2013-06-12,-0.2307692307692307
2013-07-24,-0.3076923076923077
2013-10-30,-0.3432835820895522
2013-09-04,-0.46
2013-04-17,-0.0555555555555555
2013-03-06,-0.1276595744680851
2013-12-11,-0.3225806451612903
2013-01-23,-0.1351351351351351
2014-08-20,-0.2790697674418604
2014-07-02,-0.109090909090909
2014-10-01,-0.3653846153846153
2014-11-19,-0.5306122448979592
2014-03-26,-0.45
2014-05-07,-0.3333333333333333
2014-12-31,-0.4666666666666667
2014-02-05,-0.2830188679245283
2022-02-23,-0.0842105263157894
2022-04-12,0.0109890109890109
2022-06-22,0.1630434782608695
2022-12-14,-0.1857142857142857
2022-08-24,0.0642201834862385
2022-10-12,0.0784313725490196
2024-02-21,-0.2068965517241379
2024-04-24,-0.2238805970149253
2024-06-26,-0.15625
2023-02-08,-0.1071428571428571
2023-04-12,0.1212121212121212
2023-06-14,0.1232876712328767
2023-12-13,-0.1
2023-08-16,-0.1081081081081081
2023-10-11,-0.0153846153846153
2015-11-18,-0.4634146341463415
2015-12-30,-0.1590909090909091
2015-03-25,-0.4385964912280701
2015-09-30,-0.5531914893617021
2015-05-13,-0.6744186046511628
2015-06-24,-0.4318181818181818
2015-02-11,-0.4032258064516129
2015-08-19,-0.3636363636363636
2012-06-27,-0.2727272727272727
2012-08-08,-0.5526315789473685
2012-10-31,-0.4761904761904761
2012-09-19,-0.4871794871794871
2012-05-16,0.0
2012-04-04,-0.0392156862745098
2012-02-08,-0.4444444444444444
2012-12-12,-0.05
2017-06-07,-0.1651376146788991
2017-02-22,0.1
2017-07-19,-0.2169811320754717
2017-08-30,-0.2678571428571428
2017-11-22,-0.1287128712871287
2018-01-03,-0.1428571428571428
2017-04-12,0.1224489795918367
2017-10-11,-0.1388888888888889
2020-01-02,-0.4639175257731959
2019-08-21,-0.3937007874015748
2019-11-20,-0.4765625
2019-02-20,-0.2037037037037037
2019-05-22,-0.2767857142857143
2019-10-09,-0.580952380952381
2019-07-10,-0.3716814159292035
2019-04-03,-0.2409638554216867
2021-08-18,-0.5490196078431373
2021-07-07,-0.5363636363636364
2021-10-14,-0.4567901234567901
2021-11-24,-0.1573033707865168
2021-05-19,-0.4778761061946903
2021-04-07,-0.4444444444444444
2021-02-17,-0.5490196078431373
2022-02-23,-0.0842105263157894
2022-01-05,-0.3333333333333333
2020-02-19,-0.4774774774774775
2020-07-08,-0.5208333333333334
2020-12-02,-0.4848484848484848
2021-01-06,-0.4938271604938271
2020-04-08,-0.5725806451612904
2020-08-19,-0.5405405405405406
2020-10-07,-0.5285714285714286
2020-06-04,-0.6
2019-01-02,-0.1237113402061855
2018-05-30,0.0
2018-11-28,-0.0866141732283464
2018-04-11,-0.1157894736842105
2018-02-28,-0.2300884955752212
2018-07-04,0.1388888888888889
2018-08-22,0.0769230769230769
2018-10-03,-0.079646017699115
2011-07-27,0.4583333333333333
2011-06-15,0.4081632653061224
2011-09-07,0.0512820512820512
2011-11-02,-0.303030303030303
2011-03-23,0.4
2011-05-04,0.2682926829268293
2011-12-14,-0.4117647058823529
2011-01-26,0.4782608695652174
2016-04-05,-0.5454545454545454
2016-07-06,-0.2033898305084746
2016-09-28,-0.2156862745098039
2016-05-25,-0.4313725490196078
2017-01-04,-0.1346153846153846
2016-02-17,-0.5142857142857142
2016-11-23,-0.0196078431372549
2016-08-17,-0.32
